Motif Orientation	Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
-	-75.0	8.586881206085195e-17	9.187477029145227e-17	2.662307287999673e-16	-9.449310467826339e-17	0.35028001144460263	0.9630442037235101
-	-74.0	1.0223592805669313e-14	4.178764892663947e-14	9.225808859293268e-14	-7.181090298159405e-14	0.806789744794894	0.9832982974358637
-	-73.0	6.712563664634796e-12	2.7794318683355356e-11	6.127636367507329e-11	-4.7851236345803686e-11	0.8092269698466068	0.9832982974358637
-	-72.0	1.6208449053409235e-09	6.800780997735186e-09	1.497164722227026e-08	-1.1729957411588411e-08	0.8116884845826892	0.9832982974358637
-	-71.0	1.405833806892784e-07	6.121526438309009e-07	1.3423172607088986e-06	-1.0611504993303418e-06	0.8184230767359947	0.9832982974358637
-	-70.0	4.171119565468499e-06	2.0276123052229976e-05	4.397574063975487e-05	-3.563350150881787e-05	0.8370686392321892	0.9832982974358637
-	-69.0	3.428462593939568e-05	0.0002478326806365875	0.000520811853908603	-0.00045224260202981163	0.8900105424073613	0.9832982974358637
-	-68.0	-6.404525474391649e-05	0.0011426452079123135	0.002179113331645537	-0.00230720384113337	0.9553168900116888	0.9832982974358637
-	-67.0	-0.0012829135372402047	0.0022695698648812104	0.003172542184768759	-0.005738369259249168	0.5720608179504643	0.9832982974358637
-	-66.0	-0.003651418796288286	0.0028167724177173476	0.0018782654757456343	-0.009181103068322207	0.19526586053076112	0.8120662253654782
-	-65.0	-0.004143192737729629	0.0029452784649325217	0.001638765329545034	-0.009925150805004291	0.15992303560944984	0.7523613814735022
-	-64.0	-0.0017035484693473562	0.002959019144112099	0.004105384307374349	-0.0075124812460690615	0.564981039654139	0.9805992757215518
-	-63.0	0.0009811791647935482	0.003237480725682476	0.007336767616744859	-0.005374409287157763	0.7619214165114435	0.9832982974358637
-	-62.0	0.0019404971947241624	0.003626403049182047	0.009059589876470965	-0.00517859548702264	0.5927374109431595	0.9832982974358637
-	-61.0	0.0010670907276318113	0.0031027631413535527	0.007158211343081891	-0.005024029887818269	0.7310055228293664	0.9832982974358637
-	-60.0	-0.0005767159876773039	0.0031500143692271445	0.005607164827341412	-0.00676059680269602	0.8547818339910156	0.9832982974358637
-	-59.0	-0.0004643763933694896	0.0027685239192411643	0.004970589909440203	-0.005899342696179182	0.8668374763813356	0.9832982974358637
-	-58.0	0.0017443268638278426	0.0023834177416739506	0.006423280519054797	-0.002934626791399112	0.4644826540263599	0.9630442037235101
-	-57.0	0.002382025431295387	0.0034692024665463794	0.009192513277277908	-0.004428462414687134	0.4925338684511359	0.9721910344591048
-	-56.0	-0.0007022071533430404	0.0033230448439913064	0.005821354598931274	-0.007225768905617355	0.8326992929032154	0.9832982974358637
-	-55.0	-0.0027458822540189958	0.0030620720984598547	0.0032653566434454042	-0.008757121151483395	0.3701450799723671	0.9630442037235101
-	-54.0	-0.0023403376981941297	0.0026219837640027795	0.00280695155035792	-0.0074876269467461795	0.37236652593469566	0.9630442037235101
-	-53.0	0.0006024349534935703	0.003326329134742656	0.0071324441882830835	-0.005927574281295943	0.8563292792458242	0.9832982974358637
-	-52.0	0.0028391031692225717	0.0036220285967384076	0.009949608241716954	-0.00427140190327181	0.43337915277818473	0.9630442037235101
-	-51.0	0.0010023930203115093	0.0028264628697028797	0.006551100888144738	-0.0045463148475217196	0.7229545661003663	0.9832982974358637
-	-50.0	0.0005738161172513826	0.003156988755852035	0.006771388544621938	-0.005623756310119173	0.8558196657308709	0.9832982974358637
-	-49.0	0.002032629887514649	0.0033179184678796213	0.008546127908271639	-0.004480868133242341	0.5403117537227846	0.9755548338072447
-	-48.0	1.620972541345727e-05	0.0032661220240504055	0.006428024706749814	-0.0063956052559229	0.9960414425135615	0.9960414425135615
-	-47.0	-0.0026882847335847936	0.003406986461380417	0.004000065142332754	-0.009376634609502341	0.4303314526640192	0.9630442037235101
-	-46.0	-0.003960713339979297	0.0028958059158030224	0.0017241237901908651	-0.009645550470149459	0.17180220551761413	0.774392030840589
-	-45.0	-0.003978570441273086	0.0030762189718206087	0.0020604405767323166	-0.010017581459278488	0.19629415381350965	0.8120662253654782
-	-44.0	-0.003842731110984825	0.0034130348102533997	0.0028574924468192453	-0.010542954668788896	0.26056810478903575	0.9562415718883409
