motif_id	motif_length
MA0649.1 HEY2	10
MA0131.2 HINFP	12
MA0043.2 HLF	12
MA0046.2 HNF1A	15
MA0153.2 HNF1B	13
MA0650.1 HOXA13	10
MA0651.1 HOXC11	11
MA0486.2 HSF1	13
MA0652.1 IRF8	14
MA0653.1 IRF9	15
MA0654.1 ISX	8
MA0655.1 JDP2	9
MA0656.1 JDP2(var.2)	12
MA0657.1 KLF13	18
MA0658.1 LHX6	10
MA0659.1 MAFG	21
MA0660.1 MEF2B	12
MA0661.1 MEOX1	10
MA0662.1 MIXL1	10
MA0663.1 MLX	10
MA0664.1 MLXIPL	10
MA0665.1 MSC	10
MA0666.1 MSX1	8
MA0667.1 MYF6	10
MA0668.1 NEUROD2	10
MA0669.1 NEUROG2	10
MA0670.1 NFIA	10
MA0671.1 NFIX	9
MA0048.2 NHLH1	10
MA0672.1 NKX2-3	10
MA0673.1 NKX2-8	9
MA0674.1 NKX6-1	8
MA0675.1 NKX6-2	8
MA0676.1 Nr2e1	9
MA0677.1 Nr2f6	14
MA0678.1 OLIG2	10
MA0679.1 ONECUT1	14
MA0068.2 PAX4	8
MA0680.1 PAX7	10
MA0681.1 Phox2b	11
MA0682.1 Pitx1	8
MA0683.1 POU4F2	16
MA0075.2 Prrx2	8
MA0684.1 RUNX3	10
MA0512.2 Rxra	14
MA0685.1 SP4	17
MA0686.1 SPDEF	11
MA0080.4 SPI1	14
MA0687.1 SPIC	14
MA0083.3 SRF	16
MA0009.2 T	16
MA0688.1 TBX2	11
MA0689.1 TBX20	11
MA0690.1 TBX21	10
MA0090.2 TEAD1	10
MA0691.1 TFAP4	10
MA0145.3 TFCP2	10
MA0692.1 TFEB	10
MA0694.1 ZBTB7B	12
MA0695.1 ZBTB7C	12
MA0696.1 ZIC1	14
MA0697.1 ZIC3	15
MA0698.1 ZBTB18	13
MA0699.1 LBX2	10
MA0700.1 LHX2	10
MA0701.1 LHX9	8
MA0702.1 LMX1A	8
MA0703.1 LMX1B	8
MA0704.1 Lhx4	8
MA0705.1 Lhx8	8
MA0706.1 MEOX2	10
MA0707.1 MNX1	10
MA0708.1 MSX2	8
MA0709.1 Msx3	8
MA0122.2 NKX3-2	9
MA0710.1 NOTO	10
MA0124.2 Nkx3-1	9
MA0711.1 OTX1	8
MA0712.1 OTX2	8
MA0132.2 PDX1	8
MA0713.1 PHOX2A	11
MA0714.1 PITX3	9
MA0715.1 PROP1	11
MA0716.1 PRRX1	8
MA0717.1 RAX2	8
MA0718.1 RAX	10
MA0719.1 RHOXF1	8
MA0720.1 Shox2	8
MA0721.1 UNCX	8
MA0722.1 VAX1	8
MA0723.1 VAX2	8
MA0724.1 VENTX	9
MA0725.1 VSX1	8
MA0726.1 VSX2	8
MA0112.3 ESR1	17
MA0141.3 ESRRB	11
MA0592.2 Esrra	11
MA0114.3 Hnf4a	16
MA0017.2 NR2F1	13
MA0113.3 NR3C1	17
MA0727.1 NR3C2	17
MA0728.1 Nr2f6(var.2)	15
MA0729.1 RARA	18
MA0730.1 RARA(var.2)	17
MA0731.1 BCL6B	17
MA0472.2 EGR2	11
MA0732.1 EGR3	15
MA0733.1 EGR4	16
MA0734.1 GLI2	12
MA0735.1 GLIS1	16
MA0736.1 GLIS2	14
MA0737.1 GLIS3	14
MA0738.1 HIC2	9
MA0739.1 Hic1	9
MA0740.1 KLF14	14
MA0741.1 KLF16	11
MA0742.1 Klf12	15
MA0743.1 SCRT1	15
MA0744.1 SCRT2	13
MA0745.1 SNAI2	9
MA0746.1 SP3	11
MA0747.1 SP8	12
MA0748.1 YY2	11
MA0749.1 ZBED1	13
MA0751.1 ZIC4	15
MA0088.2 ZNF143	16
MA0752.1 ZNF410	17
MA0753.1 ZNF740	10
MA0754.1 CUX1	10
MA0755.1 CUX2	10
MA0756.1 ONECUT2	14
MA0757.1 ONECUT3	14
MA0469.2 E2F3	18
MA0758.1 E2F7	14
MA0473.2 ELF1	12
MA0759.1 ELK3	10
MA0760.1 ERF	10
