Motif Orientation	Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
-	-75.0	1.7715863498413142e-16	4.9653613310989575e-17	2.7452480530941934e-16	7.97924646588435e-17	0.0003665964227263127	0.03503627769562087
-	-74.0	-1.2815269678778662e-16	6.521858736757954e-16	1.1507238365743865e-15	-1.4070292301499597e-15	0.8442369080034361	0.9890948859717803
-	-73.0	-3.369004294290212e-13	7.129010785078923e-13	1.061033038178626e-12	-1.7348338970366685e-12	0.6365562398289761	0.9875799254970055
-	-72.0	-1.3660297524219212e-10	2.8760398418676755e-10	4.273619941382434e-10	-7.005679446226276e-10	0.6348503314463274	0.9875799254970055
-	-71.0	-2.0518394993262676e-08	4.268441899717923e-08	6.318182606185798e-08	-1.0421861604838333e-07	0.6307716462727628	0.9875799254970055
-	-70.0	-1.1562175821105188e-06	2.3307329358001113e-06	3.4141354068762013e-06	-5.726570571097239e-06	0.6198850923326108	0.9875799254970055
-	-69.0	-2.5132399924017923e-05	4.685879049644482e-05	6.675337983058543e-05	-0.00011701817967862128	0.5917687400603664	0.9875799254970055
-	-68.0	-0.00022116758030534304	0.00034885668510936077	0.0004629083037342109	-0.000905243464344897	0.5261526387921994	0.9875799254970055
-	-67.0	-0.0008079692991391876	0.001001243341553437	0.0011553768348102633	-0.0027713154330886386	0.41976242772287176	0.9875799254970055
-	-66.0	-0.0010121754116746114	0.0013643318209133346	0.0016631538463042275	-0.00368750466965345	0.45822716052020007	0.9875799254970055
-	-65.0	7.847418595087843e-05	0.0013768788013923086	0.002778406919022908	-0.0026214585471211515	0.9545542982418707	0.9890948859717803
-	-64.0	0.0003683890001652502	0.0014318179791622423	0.003176052409487879	-0.002439274409157378	0.7969778261103286	0.9890948859717803
-	-63.0	0.000676517396322022	0.0015908725274877045	0.003796072150717037	-0.0024430373580729926	0.6706913596705413	0.9875799254970055
-	-62.0	0.0008921383187239474	0.0016134549157083456	0.00405597506009283	-0.0022716984226449355	0.5803559677413727	0.9875799254970055
-	-61.0	-0.000618332250318109	0.0016105856047007397	0.002539878035982277	-0.0037765425366184952	0.7010719460891617	0.9875799254970055
-	-60.0	-0.0013124424054708585	0.0015461943182902452	0.0017195024886043659	-0.004344387299546083	0.3960616468972754	0.9875799254970055
-	-59.0	-0.0013724818060826501	0.0012845621098036334	0.0011464263827977354	-0.003891389994963036	0.28542316515293104	0.9490117611725694
-	-58.0	-0.001119930054677722	0.001367268769729638	0.0015611582898935434	-0.003801018399248988	0.41280691562019467	0.9875799254970055
-	-57.0	9.59608197828555e-05	0.0016725047367837367	0.0033755888309732196	-0.003183667191407509	0.9542506271168607	0.9890948859717803
-	-56.0	0.0006480984772007476	0.0016067492792186258	0.003798786081959807	-0.0025025891275583124	0.6867176702373059	0.9875799254970055
-	-55.0	0.0005513084636667202	0.001471073956521485	0.003435949235218891	-0.002333332307885451	0.7078661323494847	0.9875799254970055
-	-54.0	0.0008366253731663146	0.0016859609173752016	0.004142639717274498	-0.002469388970941869	0.6197751155898921	0.9875799254970055
-	-53.0	0.0007739392230587709	0.0018734499487926429	0.004447602319187858	-0.0028997238730703156	0.679561913362168	0.9875799254970055
-	-52.0	-0.0005358478205793498	0.001716073937989126	0.0028292153882255614	-0.0039009110293842606	0.7548747783538254	0.9890948859717803
-	-51.0	-0.002279466990879119	0.0014632942775570077	0.0005899185455225473	-0.005148852527280786	0.11941509730336754	0.9057892884088191
-	-50.0	-0.003460862160221883	0.001516366437327214	-0.00048740699820501226	-0.006434317322238753	0.022552518401585325	0.7727018934648098
-	-49.0	-0.004543718855457093	0.0017015725882217451	-0.0012070914602263952	-0.00788034625068779	0.007627024753117663	0.4606722950883068
-	-48.0	-0.0032864175143215747	0.0017305774216894824	0.00010708569250391124	-0.006679920721147061	0.057674980392104454	0.9057892884088191
-	-47.0	-0.000718878275482653	0.0017767593181971563	0.002765183384222148	-0.0042029399351874545	0.6858053763885312	0.9875799254970055
-	-46.0	7.597521557227102e-05	0.0018880353137206585	0.0037782388712808423	-0.0036262884401363008	0.9679046984778237	0.9890948859717803
-	-45.0	-0.00010433047211149868	0.0017665812366510648	0.003359772905500223	-0.003568433849723221	0.9529107325711452	0.9890948859717803
-	-44.0	-0.0007939680108378815	0.0018687636212726506	0.0028705056279066275	-0.00445844164958239	0.6709731053167736	0.9875799254970055
-	-43.0	-0.0009193806634331424	0.001996416727209282	0.0029954089790497525	-0.004834170305916038	0.6451861446678849	0.9875799254970055
-	-42.0	0.0003128191805216766	0.0018056408261407455	0.0038535148218075176	-0.003227876460764165	0.8624723932151439	0.9890948859717803
-	-41.0	0.001390966678448933	0.0018524620975252015	0.0050234745279604445	-0.002241541171062578	0.4527984219910085	0.9875799254970055
-	-40.0	0.0005780489566805001	0.0018814961463901286	0.004267489906494493	-0.003111391993133493	0.7586950146275223	0.9890948859717803
-	-39.0	6.929747132691463e-05	0.0018454430881674	0.0036880416888472123	-0.0035494467461933826	0.9700489872992719	0.9890948859717803
-	-38.0	0.0016961194576116704	0.0018802063469346535	0.005383031229283466	-0.001990792314060126	0.36709431546285387	0.9557110626705333
-	-37.0	0.003033072337867957	0.0018212535130730221	0.006604383022727011	-0.0005382383469910977	0.09596231124530955	0.9057892884088191
-	-36.0	0.002015123139708714	0.0017071551029472526	0.005362697333034504	-0.0013324510536170757	0.23795347215835663	0.9490117611725694
-	-35.0	-0.0008970083577723475	0.0017195842995192682	0.002474938347234672	-0.004268955062779367	0.601965175261715	0.9875799254970055
-	-34.0	-0.0027173726276409522	0.0019147169323214177	0.0010372112289151357	-0.00647195648419704	0.15596371853396884	0.9057892884088191
-	-33.0	-0.002227488057339872	0.0020244008981815183	0.0017421759714284562	-0.0061971520861082005	0.2712982259336091	0.9490117611725694
-	-32.0	-0.0007171784753164897	0.001991171404786674	0.003187325572174316	-0.004621682522807295	0.718743402606452	0.9875799254970055
-	-31.0	0.0009474772439065813	0.00199555272286061	0.004860572653302195	-0.002965618165489033	0.6349747709963165	0.9875799254970055
-	-30.0	0.0020501693764318936	0.002053473474308902	0.006076842053922011	-0.0019765033010582236	0.3181858947831354	0.9490117611725694
-	-29.0	0.002540150754623948	0.0019975074416513916	0.006457079187842606	-0.00137677767859471	0.20361149791514493	0.9291077039261367
-	-28.0	0.0033821739041117703	0.001997267977925215	0.0072986327709807725	-0.0005342849627572319	0.09050320965236414	0.9057892884088191
-	-27.0	0.002887746890690924	0.0019122418490694758	0.006637477336560291	-0.0008619835551784433	0.13113417742581382	0.9057892884088191
-	-26.0	0.00042562405597457533	0.001967836615818683	0.004284370727805084	-0.0034331226158559333	0.8287789843192246	0.9890948859717803
-	-25.0	-0.0009523435723256082	0.002115192507509561	0.0031953544545442166	-0.005100041599195433	0.6525764582478206	0.9875799254970055
-	-24.0	-0.00017282746825553522	0.0021712231522659	0.004084741501270823	-0.004430396437781894	0.9365624245906103	0.9890948859717803
-	-23.0	0.0006377689439322593	0.0022691919456802804	0.005087445709650689	-0.003811907821786171	0.7786909377475558	0.9890948859717803
-	-22.0	0.00011044941502192881	0.002208262866065086	0.004440649857709844	-0.004219751027665987	0.9601132723510942	0.9890948859717803
-	-21.0	-0.0003775052463200095	0.0021143621955139226	0.0037685646150690056	-0.004523575107709025	0.858310689237873	0.9890948859717803
