Motif Orientation	Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
+	10.0	0.004572686218545928	0.003977025770961211	0.012382122394228201	-0.0032367499571363447	0.2506612264887365	0.9177699918509767
+	11.0	0.0027733002673631397	0.0037188244992289567	0.010075722793097229	-0.004529122258370949	0.4560914208308723	0.9177699918509767
+	12.0	-0.002260872032306952	0.004936521343271489	0.007432665445287637	-0.01195440950990154	0.6471141813239238	0.9177699918509767
+	13.0	-0.006798789422245578	0.006333795567295467	0.005638487850076044	-0.0192360666945672	0.28348525934785856	0.9177699918509767
+	14.0	-0.007792303431208817	0.005804408662914046	0.0036054499657094223	-0.019190056828127057	0.17991119231938474	0.9177699918509767
+	15.0	-0.0044526489690362575	0.004792341150926252	0.004957770903905348	-0.013863068841977863	0.35317459691004016	0.9177699918509767
+	16.0	0.00024937098183173967	0.004149847027364302	0.008398165424069817	-0.007899423460406337	0.9521012296362555	0.9887707050417602
+	17.0	0.0019596725397268283	0.004502890006063075	0.010801715345994107	-0.00688237026654045	0.6635600099152368	0.9177699918509767
+	18.0	-7.739874391475294e-05	0.00469986093438462	0.009151423525644818	-0.009306221013474322	0.9868658644141626	0.990389092619183
+	19.0	0.0002827310366774593	0.004735512655087983	0.009581560355077165	-0.009016098281722246	0.9524094874424329	0.9887707050417602
+	20.0	0.004528474458847026	0.004740469518612624	0.013837037259390575	-0.0047800883416965236	0.33979303219481494	0.9177699918509767
+	21.0	0.0037863424494109944	0.004553532770776847	0.012727829277811603	-0.005155144378989614	0.4059880836921995	0.9177699918509767
+	22.0	-0.0010778446926933008	0.004402309034173198	0.007566693564773369	-0.00972238295015997	0.8066608796621247	0.9442309521626421
+	23.0	-0.003949221775189028	0.0049628255136309985	0.005795967552659279	-0.013694411103037336	0.42646295751068664	0.9177699918509767
+	24.0	-0.0038084941985312886	0.004245074202908631	0.0045272918782679585	-0.012144280275330537	0.3699693318664061	0.9177699918509767
+	25.0	-0.0024583847289238016	0.003916263642701741	0.005231736664841365	-0.010148506122688968	0.530397538946805	0.9177699918509767
+	26.0	-0.0014124204887733015	0.003740671851159559	0.005932902312275944	-0.008757743289822546	0.7058629547301634	0.9231148819066987
+	27.0	-0.0006133966203455731	0.0035608451953308647	0.006378811850483691	-0.007605605091174837	0.8632857999081611	0.9656011539713506
+	28.0	-0.0006772613392096978	0.003387590038100574	0.005974736841211833	-0.007329259519631229	0.8416026577696291	0.9627424342667726
+	29.0	-0.0018732360363928587	0.0034664234511309934	0.004933562374911628	-0.008680034447697344	0.58911099373648	0.9177699918509767
+	30.0	-0.0024791526495193993	0.0035566531681754223	0.004504824200394509	-0.009463129499433308	0.48602406488103533	0.9177699918509767
+	31.0	-0.002248960464607143	0.004005982797260632	0.005617336808223169	-0.010115257737437454	0.5747189846160012	0.9177699918509767
+	32.0	-0.002827919011106403	0.003512570293053582	0.004069495060608213	-0.00972533308282102	0.4210661611375609	0.9177699918509767
+	33.0	-0.0030120923730322076	0.0029924007553523346	0.002863897388366652	-0.008888082134431067	0.3145126846422406	0.9177699918509767
+	34.0	-0.002495048422361733	0.0037665561123779432	0.0049011016796860684	-0.009891198524409534	0.5079369013494258	0.9177699918509767
+	35.0	-0.001848463758339085	0.0035481544106942715	0.005118824614319719	-0.00881575213099789	0.6025695014116756	0.9177699918509767
+	36.0	-0.0026385168921896464	0.0036333836929866815	0.004496130878847136	-0.00977316466322643	0.4679866053502679	0.9177699918509767
+	37.0	-0.001386600899155586	0.0038112448584615476	0.006097301691915396	-0.008870503490226568	0.7161124958052781	0.9231148819066987
+	38.0	-0.0017384272444814332	0.0035810926878567413	0.005293539958049542	-0.008770394447012409	0.6275243231450408	0.9177699918509767
+	39.0	-0.003983069345946358	0.003949252789205676	0.003771830766627675	-0.011737969458520391	0.31356139890629675	0.9177699918509767
+	40.0	-0.0026023598901358845	0.003958962693681323	0.005171606953116187	-0.010376326733387956	0.5112000910829291	0.9177699918509767
+	41.0	0.0008239051177231253	0.003007177142445586	0.006728910344084393	-0.005081100108638143	0.7841877634182122	0.9433895268823268
+	42.0	0.0031327067725768444	0.003041622551821214	0.009105350289850973	-0.0028399367446972842	0.3034202497081331	0.9177699918509767
+	43.0	0.0018653651731861563	0.002495808001648556	0.006766226876911237	-0.003035496530538925	0.4550941013671652	0.9177699918509767
+	44.0	-0.002100129285225694	0.0025727026622920355	0.0029517256428658626	-0.00715198421331725	0.4146218807094837	0.9177699918509767
+	45.0	-0.004813661959241254	0.003019911589182091	0.0011163491018187739	-0.01074367302030128	0.11143011701440352	0.9177699918509767
+	46.0	-0.0035864030025744642	0.0032575969459398865	0.002810335892397902	-0.00998314189754683	0.2713342930504689	0.9177699918509767
+	47.0	-0.0018682739041960732	0.0033273227832752057	0.004665381246245911	-0.008401929054638057	0.5746548156695581	0.9177699918509767
+	48.0	-0.0014781133506983598	0.0027121964828473923	0.0038476568475640125	-0.006803883548960732	0.5859498746177694	0.9177699918509767
+	49.0	-0.0013715377390187558	0.0022121273759728756	0.0029722781047906623	-0.005715353582828174	0.5354704988055738	0.9177699918509767
+	50.0	-0.00027011309984807403	0.002337281852311093	0.004319460742866144	-0.004859686942562292	0.9080314239800397	0.9828870610823368
+	51.0	0.0020852766925826714	0.002505869389403443	0.007005895312665776	-0.002835341927500433	0.40562738098022677	0.9177699918509767
+	52.0	0.003749860500518113	0.003552299236308383	0.010725287807384756	-0.0032255668063485314	0.29153813653493854	0.9177699918509767
+	53.0	0.0021349963285974367	0.004260698874812106	0.010501463594059606	-0.006231470936864732	0.6164777663194306	0.9177699918509767
+	54.0	-0.000775735186784963	0.0041949358046742295	0.007461597260716361	-0.009013067634286286	0.8533483021831713	0.9652104391734746
+	55.0	-0.002673022925502898	0.00337638781560746	0.0039569781529072414	-0.009303024003913037	0.42883669975110694	0.9177699918509767
+	56.0	-0.0032239242820159527	0.002612694159273728	0.0019064594415209085	-0.008354308005552813	0.21767095016207352	0.9177699918509767
+	57.0	-0.002044287681349872	0.0023446087655403253	0.0025596735615281184	-0.0066482489242278625	0.38358094448263047	0.9177699918509767
+	58.0	0.00026124994369752363	0.0028146487926506846	0.005788199319701724	-0.005265699432306677	0.9260769197220167	0.9887707050417602
+	59.0	0.003183643980362318	0.0027106214350971353	0.008506321356101614	-0.002139033395376977	0.2406240895046994	0.9177699918509767
+	60.0	0.005375640227397139	0.0025786777596826602	0.010439228079639271	0.0003120523751550079	0.03749266796282254	0.5469215093348395
+	61.0	0.006391774941938619	0.002814463823090537	0.011918361104813813	0.0008651887790634269	0.023471978494888267	0.4169727944386033
+	62.0	0.008266155149521146	0.0033169546949656666	0.014779451134953844	0.0017528591640884484	0.012948503302258212	0.28131595690497174
+	63.0	0.011226246268647804	0.002999596067904024	0.017116365014210357	0.005336127523085253	0.00019833431583821275	0.009982827230523374
+	64.0	0.010648301363954098	0.002018586480239099	0.014612073084425588	0.006684529643482609	1.8117541950651217e-07	5.4714976690966674e-05
+	65.0	0.004289107590302005	0.0019313662935933687	0.008081610498332205	0.000496604682271804	0.026712530720100523	0.4481769043039088
+	66.0	-0.0013524624957324096	0.0032321656701776178	0.0049943385973826625	-0.007699263588847482	0.6757654109590479	0.9177699918509767
+	67.0	-0.002703605823920233	0.003219003068338319	0.0036173486931629535	-0.009024560341003419	0.4012807718464769	0.9177699918509767
+	68.0	-0.0014154254540659538	0.0017114442331490518	0.00194523029139247	-0.004776081199524378	0.40852174279436526	0.9177699918509767
+	69.0	-0.0002938643669056955	0.0003742401999141097	0.00044100765151158696	-0.001028736385322978	0.43260658108826966	0.9177699918509767
+	70.0	-2.3444448503617994e-05	3.0640769340214356e-05	3.672290929511528e-05	-8.361180630235127e-05	0.44446776041896685	0.9177699918509767
+	71.0	-7.004143144405742e-07	9.250272113512206e-07	1.1160036279734004e-06	-2.516832256854549e-06	0.4492162526594311	0.9177699918509767
+	72.0	-7.750047268002824e-09	1.0276077796908987e-08	1.242844246602539e-08	-2.792853700203104e-08	0.45101349744998764	0.9177699918509767
+	73.0	-3.162672641138231e-11	4.199643690783782e-11	5.083904387166009e-11	-1.1409249669442471e-10	0.45167505935806085	0.9177699918509767
+	74.0	-4.795209368468889e-14	6.313922532608918e-14	7.603044471534311e-14	-1.719346320847209e-13	0.4478504707659803	0.9177699918509767
+	75.0	-4.553649124439119e-16	9.298736104759927e-17	-2.727714611898005e-16	-6.379583636980233e-16	1.2302361236187592e-06	9.485903769379486e-05
