Motif Orientation	Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
-	-75.0	3.2796682036817515e-14	7.850448795913802e-15	4.818480147711468e-14	1.7408562596520352e-14	2.9653886699386965e-05	0.0005267925754832273
-	-74.0	2.187721184765401e-11	5.2216571408723634e-12	3.2112484486060096e-11	1.1641939209247926e-11	2.81275683728732e-05	0.0005267925754832273
-	-73.0	5.355844132776122e-09	1.2776955113865895e-09	7.860329118116352e-09	2.851359147435892e-09	2.7869595308843186e-05	0.0005267925754832273
-	-72.0	4.827724520550108e-07	1.1501919578481267e-07	7.082282404660987e-07	2.5731666364392297e-07	2.720001823085618e-05	0.0005267925754832273
-	-71.0	1.6047908363105157e-05	3.810601593918604e-06	2.3517289285266906e-05	8.578527440943407e-06	2.5562717339552342e-05	0.0005267925754832273
-	-70.0	0.00019767087633348196	4.659220544439256e-05	0.0002889989571864341	0.00010634279548052981	2.2259763513953834e-05	0.0005267925754832273
-	-69.0	0.0009176059645802648	0.00021458735478632738	0.001338231069166411	0.0004969808599941185	1.9160296413314527e-05	0.0005267925754832273
-	-68.0	0.0017219645329781784	0.00042093295431267115	0.0025470596002426173	0.0008968694657137394	4.325894580261633e-05	0.0006911744053311624
-	-67.0	0.0017149942409307398	0.0005045704571454776	0.0027040320223938015	0.0007259564594676781	0.0006786857270278704	0.007320110341514887
-	-66.0	0.001399793745095898	0.0005037301636710457	0.0023871844186437803	0.00041240307154801576	0.005463385774063315	0.03872202549229878
-	-65.0	0.0006468598738711313	0.0004813715308044067	0.0015904240959615278	-0.0002967043482192651	0.17904282348047731	0.36715279460844724
-	-64.0	-0.0002206479648862794	0.000468932512123485	0.0006985338161286791	-0.0011398297459012379	0.637983043349424	0.776898706014218
-	-63.0	-0.0002589690911283648	0.0004724978490623531	0.0006672013133508678	-0.0011851394956075975	0.5836433842474777	0.737159564936944
-	-62.0	0.00053944436859657	0.0004878613609866799	0.0014957296827656824	-0.0004168409455725426	0.26886388081511503	0.4587395028596878
-	-61.0	0.0017783524647558818	0.0004982075166400783	0.0027549178779462465	0.000801787051565517	0.0003590313779669337	0.004337099045840558
-	-60.0	0.0021877667444266426	0.0005197655050208597	0.0032065892194385777	0.0011689442694147077	2.581736348987845e-05	0.0005267925754832273
-	-59.0	0.0013743377236393045	0.0005224432274105765	0.0023984089574205936	0.00035026648985801516	0.008534177766549203	0.05154643370995718
-	-58.0	0.0002948847564816538	0.0005164517795690688	0.0013072118062803129	-0.0007174422933170052	0.5680222195586268	0.7326273612056362
-	-57.0	-0.00013847942402511054	0.0004881910085897895	0.000818452051506458	-0.001095410899556679	0.7766770665617742	0.8727761094567364
-	-56.0	-0.0001629246503144048	0.0005010450374118093	0.0008192027517105916	-0.0011450520523394012	0.745058221851658	0.8490852188649084
-	-55.0	7.997293769435379e-05	0.0005248475341745627	0.0011087569924387696	-0.0009488111170500621	0.8788947467221019	0.9445772722778462
